time,x1,y1,z1,x2,y2,z2
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.010000,0.000000,-0.005000,0.000000,0.000000,1.005000,0.000000
0.020000,0.000000,-0.009999,0.000000,0.000000,1.009999,0.000000
0.030000,0.000000,-0.014996,0.000000,0.000000,1.014996,0.000000
0.040000,0.000000,-0.019990,0.000000,0.000000,1.019990,0.000000
0.050000,0.000000,-0.024980,0.000000,0.000000,1.024980,0.000000
0.060000,0.000000,-0.029965,0.000000,0.000000,1.029965,0.000000
0.070000,0.000000,-0.034944,0.000000,0.000000,1.034944,0.000000
0.080000,0.000000,-0.039916,0.000000,0.000000,1.039916,0.000000
0.090000,0.000000,-0.044880,0.000000,0.000000,1.044880,0.000000
0.100000,0.000000,-0.049835,0.000000,0.000000,1.049835,0.000000
0.110000,0.000000,-0.054780,0.000000,0.000000,1.054780,0.000000
0.120000,0.000000,-0.059714,0.000000,0.000000,1.059714,0.000000
0.130000,0.000000,-0.064637,0.000000,0.000000,1.064637,0.000000
0.140000,0.000000,-0.069546,0.000000,0.000000,1.069546,0.000000
0.150000,0.000000,-0.074441,0.000000,0.000000,1.074441,0.000000
0.160000,0.000000,-0.079322,0.000000,0.000000,1.079322,0.000000
0.170000,0.000000,-0.084186,0.000000,0.000000,1.084186,0.000000
0.180000,0.000000,-0.089034,0.000000,0.000000,1.089034,0.000000
0.190000,0.000000,-0.093864,0.000000,0.000000,1.093864,0.000000
0.200000,0.000000,-0.098675,0.000000,0.000000,1.098675,0.000000
0.210000,0.000000,-0.103467,0.000000,0.000000,1.103467,0.000000
0.220000,0.000000,-0.108237,0.000000,0.000000,1.108237,0.000000
0.230000,0.000000,-0.112987,0.000000,0.000000,1.112987,0.000000
0.240000,0.000000,-0.117713,0.000000,0.000000,1.117713,0.000000
0.250000,0.000000,-0.122416,0.000000,0.000000,1.122416,0.000000
0.260000,0.000000,-0.127095,0.000000,0.000000,1.127095,0.000000
0.270000,0.000000,-0.131748,0.000000,0.000000,1.131748,0.000000
0.280000,0.000000,-0.136374,0.000000,0.000000,1.136374,0.000000
0.290000,0.000000,-0.140974,0.000000,0.000000,1.140974,0.000000
0.300000,0.000000,-0.145545,0.000000,0.000000,1.145545,0.000000
0.310000,0.000000,-0.150087,0.000000,0.000000,1.150087,0.000000
0.320000,0.000000,-0.154599,0.000000,0.000000,1.154599,0.000000
0.330000,0.000000,-0.159081,0.000000,0.000000,1.159081,0.000000
0.340000,0.000000,-0.163530,0.000000,0.000000,1.163530,0.000000
0.350000,0.000000,-0.167947,0.000000,0.000000,1.167947,0.000000
0.360000,0.000000,-0.172330,0.000000,0.000000,1.172330,0.000000
0.370000,0.000000,-0.176678,0.000000,0.000000,1.176678,0.000000
0.380000,0.000000,-0.180992,0.000000,0.000000,1.180992,0.000000
0.390000,0.000000,-0.185269,0.000000,0.000000,1.185269,0.000000
0.400000,0.000000,-0.189509,0.000000,0.000000,1.189509,0.000000
0.410000,0.000000,-0.193711,0.000000,0.000000,1.193711,0.000000
0.420000,0.000000,-0.197874,0.000000,0.000000,1.197874,0.000000
0.430000,0.000000,-0.201998,0.000000,0.000000,1.201998,0.000000
0.440000,0.000000,-0.206082,0.000000,0.000000,1.206082,0.000000
0.450000,0.000000,-0.210124,0.000000,0.000000,1.210124,0.000000
0.460000,0.000000,-0.214124,0.000000,0.000000,1.214124,0.000000
0.470000,0.000000,-0.218081,0.000000,0.000000,1.218081,0.000000
0.480000,0.000000,-0.221995,0.000000,0.000000,1.221995,0.000000
0.490000,0.000000,-0.225864,0.000000,0.000000,1.225864,0.000000
0.500000,0.000000,-0.229689,0.000000,0.000000,1.229689,0.000000
0.510000,0.000000,-0.233467,0.000000,0.000000,1.233467,0.000000
0.520000,0.000000,-0.237198,0.000000,0.000000,1.237198,0.000000
0.530000,0.000000,-0.240883,0.000000,0.000000,1.240883,0.000000
0.540000,0.000000,-0.244518,0.000000,0.000000,1.244518,0.000000
0.550000,0.000000,-0.248105,0.000000,0.000000,1.248105,0.000000
0.560000,0.000000,-0.251643,0.000000,0.000000,1.251643,0.000000
0.570000,0.000000,-0.255130,0.000000,0.000000,1.255130,0.000000
0.580000,0.000000,-0.258566,0.000000,0.000000,1.258566,0.000000
0.590000,0.000000,-0.261950,0.000000,0.000000,1.261950,0.000000
0.600000,0.000000,-0.265282,0.000000,0.000000,1.265282,0.000000
0.610000,0.000000,-0.268561,0.000000,0.000000,1.268561,0.000000
0.620000,0.000000,-0.271786,0.000000,0.000000,1.271786,0.000000
0.630000,0.000000,-0.274957,0.000000,0.000000,1.274957,0.000000
0.640000,0.000000,-0.278073,0.000000,0.000000,1.278073,0.000000
0.650000,0.000000,-0.281133,0.000000,0.000000,1.281133,0.000000
0.660000,0.000000,-0.284137,0.000000,0.000000,1.284137,0.000000
0.670000,0.000000,-0.287084,0.000000,0.000000,1.287084,0.000000
0.680000,0.000000,-0.289974,0.000000,0.000000,1.289974,0.000000
0.690000,0.000000,-0.292806,0.000000,0.000000,1.292806,0.000000
0.700000,0.000000,-0.295579,0.000000,0.000000,1.295579,0.000000
0.710000,0.000000,-0.298293,0.000000,0.000000,1.298293,0.000000
0.720000,0.000000,-0.300947,0.000000,0.000000,1.300947,0.000000
0.730000,0.000000,-0.303542,0.000000,0.000000,1.303542,0.000000
0.740000,0.000000,-0.306075,0.000000,0.000000,1.306075,0.000000
0.750000,0.000000,-0.308548,0.000000,0.000000,1.308548,0.000000
0.760000,0.000000,-0.310958,0.000000,0.000000,1.310958,0.000000
0.770000,0.000000,-0.313306,0.000000,0.000000,1.313306,0.000000
0.780000,0.000000,-0.315592,0.000000,0.000000,1.315592,0.000000
0.790000,0.000000,-0.317815,0.000000,0.000000,1.317815,0.000000
0.800000,0.000000,-0.319974,0.000000,0.000000,1.319974,0.000000
0.810000,0.000000,-0.322069,0.000000,0.000000,1.322069,0.000000
0.820000,0.000000,-0.324100,0.000000,0.000000,1.324100,0.000000
0.830000,0.000000,-0.326065,0.000000,0.000000,1.326065,0.000000
0.840000,0.000000,-0.327966,0.000000,0.000000,1.327966,0.000000
0.850000,0.000000,-0.329801,0.000000,0.000000,1.329801,0.000000
0.860000,0.000000,-0.331570,0.000000,0.000000,1.331570,0.000000
0.870000,0.000000,-0.333273,0.000000,0.000000,1.333273,0.000000
0.880000,0.000000,-0.334909,0.000000,0.000000,1.334909,0.000000
0.890000,0.000000,-0.336478,0.000000,0.000000,1.336478,0.000000
0.900000,0.000000,-0.337980,0.000000,0.000000,1.337980,0.000000
0.910000,0.000000,-0.339414,0.000000,0.000000,1.339414,0.000000
0.920000,0.000000,-0.340780,0.000000,0.000000,1.340780,0.000000
0.930000,0.000000,-0.342079,0.000000,0.000000,1.342079,0.000000
0.940000,0.000000,-0.343308,0.000000,0.000000,1.343308,0.000000
0.950000,0.000000,-0.344469,0.000000,0.000000,1.344469,0.000000
