time,x1,y1,z1,x2,y2,z2
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.010000,0.000000,0.000000,0.000000,0.000000,1.005000,0.000000
0.020000,0.000000,0.000000,0.000000,0.000000,1.009999,0.000000
0.030000,0.000000,0.000002,0.000000,0.000000,1.014998,0.000000
0.040000,0.000000,0.000005,0.000000,0.000000,1.019995,0.000000
0.050000,0.000000,0.000010,0.000000,0.000000,1.024990,0.000000
0.060000,0.000000,0.000017,0.000000,0.000000,1.029983,0.000000
0.070000,0.000000,0.000028,0.000000,0.000000,1.034972,0.000000
0.080000,0.000000,0.000042,0.000000,0.000000,1.039958,0.000000
0.090000,0.000000,0.000060,0.000000,0.000000,1.044940,0.000000
0.100000,0.000000,0.000082,0.000000,0.000000,1.049918,0.000000
0.110000,0.000000,0.000110,0.000000,0.000000,1.054890,0.000000
0.120000,0.000000,0.000143,0.000000,0.000000,1.059857,0.000000
0.130000,0.000000,0.000182,0.000000,0.000000,1.064818,0.000000
0.140000,0.000000,0.000227,0.000000,0.000000,1.069773,0.000000
0.150000,0.000000,0.000279,0.000000,0.000000,1.074721,0.000000
0.160000,0.000000,0.000339,0.000000,0.000000,1.079661,0.000000
0.170000,0.000000,0.000407,0.000000,0.000000,1.084593,0.000000
0.180000,0.000000,0.000483,0.000000,0.000000,1.089517,0.000000
0.190000,0.000000,0.000568,0.000000,0.000000,1.094432,0.000000
0.200000,0.000000,0.000662,0.000000,0.000000,1.099338,0.000000
0.210000,0.000000,0.000767,0.000000,0.000000,1.104233,0.000000
0.220000,0.000000,0.000881,0.000000,0.000000,1.109119,0.000000
0.230000,0.000000,0.001007,0.000000,0.000000,1.113993,0.000000
0.240000,0.000000,0.001143,0.000000,0.000000,1.118857,0.000000
0.250000,0.000000,0.001292,0.000000,0.000000,1.123708,0.000000
0.260000,0.000000,0.001453,0.000000,0.000000,1.128547,0.000000
0.270000,0.000000,0.001626,0.000000,0.000000,1.133374,0.000000
0.280000,0.000000,0.001813,0.000000,0.000000,1.138187,0.000000
0.290000,0.000000,0.002013,0.000000,0.000000,1.142987,0.000000
